aliases	description	*biosample	crosslinking_method	crosslinking_temperature	crosslinking_time	digestion_enzyme	experiment_sets|0	experiment_sets|1	ligation_volume	protocol	protocol_variation	tagging_method
erezlab:hic138		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic139		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic140		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			1	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic141		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			1	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic142		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			1	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic143		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			1	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic144		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			5	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic145		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			5	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic146		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			5	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic147		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			5	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic148		dcic:encodegm12878b2_p20	1% Formaldehyde	25	10	MboI			5	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic149		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	NcoI			1	dcic:Pro_insituhic		bio-dCTP
erezlab:hic150		dcic:encodegm12878b2_p21	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic151		dcic:encodegm12878b2_p21	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic152		dcic:encodegm12878b2_p21	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic153		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dCTP
erezlab:hic154		dcic:encodegm12878b2_p21	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic155		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic156		dcic:encodegm12878b2_p22	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic157		dcic:encodegm12878b2_p3	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dCTP
erezlab:hic158		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic159		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic160		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic161		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic162		dcic:encodegm12878b2_p4	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic163		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic164		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic165		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic166		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic167		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic168		dcic:encodegm12878b2_p23	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic169		dcic:encodegm12878b2_p3	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic170		dcic:encodegm12878b2_p3	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic171		dcic:encodegm12878b2_p3	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic172		dcic:encodegm12878b2_p24	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic173		dcic:encodegm12878b2_p24	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic174		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic175		dcic:encodegm12878b2_p5	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic176		dcic:encodegm12878b2_p5	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic177		dcic:encodegm12878b2_p5	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic178		dcic:encodegm12878b2_p25	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic179		dcic:encodegm12878b2_p25	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic180		dcic:encodegm12878b2_p7	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic181		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic182		dcic:encodegm12878b2_p26	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic183		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic184		dcic:encodegm12878b2_p27	1% Formaldehyde	25	10	HindIII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic185		dcic:encodegm12878b2_p28	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic186		dcic:encodegm12878b2_p28	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dUTP (Tri-Link)
erezlab:hic187		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic188		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic189		dcic:encodegm12878b2_p29	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic190		dcic:encodegm12878b2_p29	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
